Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Salesman ID_createcustomer-customerre_2602e6""), ""customerName"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:29:24,2023-09-29 07:29:25,0.831s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Customer Name_createcustomer-customer_9f598b""), ""PIC"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:29:25,2023-09-29 07:29:26,0.909s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_PIC_createcustomer-customerregister-c_7d29d8""), ""email"" + randomText + ""@mailinator.com"")",Chrome 117.0.0.0,,,2023-09-29 07:29:26,2023-09-29 07:29:27,0.811s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Email_createcustomer-customerregister_6409b8""), ""city"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:29:27,2023-09-29 07:29:27,0.726s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_City_createcustomer-customerregister-_1096a9""), ""reMark"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:29:27,2023-09-29 07:29:28,0.738s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Remark_createcustomer-customerregiste_e3ba5d""), ""08.178.554.2-123.321"" + randomNum)",Chrome 117.0.0.0,,,2023-09-29 07:29:28,2023-09-29 07:29:29,0.760s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_NPWP_createcustomer-customerregister-_b2e4d8""), ""tier"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:29:29,2023-09-29 07:29:30,0.765s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/textarea_Tier_createcustomer-customerregist_831bae""), ""address1"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:29:30,2023-09-29 07:29:30,0.821s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/textarea_Address_createcustomer-customerreg_2c8b43""), ""address2"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:29:30,2023-09-29 07:29:32,1.877s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Address 2_createcustomer-customerregi_b33ca3""), ""0801"" + randomNum)",Chrome 117.0.0.0,,,2023-09-29 07:29:32,2023-09-29 07:29:33,0.726s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Contact No_createcustomer-customerreg_0f8d35""), ""region"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:29:33,2023-09-29 07:29:34,0.729s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Region_createcustomer-customerregiste_b1824f""), ""province"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:29:34,2023-09-29 07:29:34,0.746s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Province_createcustomer-customerregis_1acb6e""), """")",Chrome 117.0.0.0,,,2023-09-29 07:29:34,2023-09-29 07:29:35,0.677s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/input_Province_createcustomer-customerregis_1acb6e""))",Chrome 117.0.0.0,,,2023-09-29 07:29:35,2023-09-29 07:29:36,0.504s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_JNE Express""))",Chrome 117.0.0.0,,,2023-09-29 07:29:36,2023-09-29 07:29:36,0.477s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Term Of Payment""))",Chrome 117.0.0.0,,,2023-09-29 07:29:36,2023-09-29 07:29:37,0.607s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_NET0""))",Chrome 117.0.0.0,,,2023-09-29 07:29:37,2023-09-29 07:29:37,0.487s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_Submit""))",Chrome 117.0.0.0,,,2023-09-29 07:29:37,2023-09-29 07:29:38,1.037s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/div_Mohon Isi Customer ID Terlebih Dahulu""))",Chrome 117.0.0.0,,,2023-09-29 07:29:38,2023-09-29 07:29:39,0.563s,PASSED
