Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/div_Mohon Isi Customer ID Terlebih Dahulu""))",Chrome 117.0.0.0,,,2023-09-29 05:40:05,2023-09-29 05:40:05,0.323s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-09-29 05:40:05,2023-09-29 05:40:06,0.657s,PASSED
Video,Chrome 117.0.0.0,,,2023-09-29 05:40:08,2023-09-29 05:40:08,0.000s,PASSED
,,,,,,,
Test Cases/Functionality/negative-testcase/regist new cust but empty all field except npwp,Chrome 117.0.0.0,,,2023-09-29 05:40:08,2023-09-29 05:40:48,39.694s,PASSED
randomText = RandomStringUtils.randomNumeric(3),Chrome 117.0.0.0,,,2023-09-29 05:40:08,2023-09-29 05:40:08,0.001s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-09-29 05:40:08,2023-09-29 05:40:09,1.138s,PASSED
"navigateToUrl(""https://sandbox.product.prieds.com/"")",Chrome 117.0.0.0,,,2023-09-29 05:40:09,2023-09-29 05:40:21,12.077s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Sign In_username""), ""testingwmslite2"")",Chrome 117.0.0.0,,,2023-09-29 05:40:21,2023-09-29 05:40:22,0.723s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Prieds Technology/input_IDUsername_password""), ""U8NeUUalMC6sqe9eTsnb2g=="")",Chrome 117.0.0.0,,,2023-09-29 05:40:22,2023-09-29 05:40:23,0.386s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/button_Login""))",Chrome 117.0.0.0,,,2023-09-29 05:40:23,2023-09-29 05:40:23,0.375s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Master""))",Chrome 117.0.0.0,,,2023-09-29 05:40:23,2023-09-29 05:40:37,13.819s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Management""))",Chrome 117.0.0.0,,,2023-09-29 05:40:37,2023-09-29 05:40:37,0.709s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Register""))",Chrome 117.0.0.0,,,2023-09-29 05:40:37,2023-09-29 05:40:42,4.615s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Remark_createcustomer-customerregiste_e3ba5d""), ""08."" + randomText + "".554.2-123."" + randomText)",Chrome 117.0.0.0,,,2023-09-29 05:40:42,2023-09-29 05:40:44,1.720s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_Submit""))",Chrome 117.0.0.0,,,2023-09-29 05:40:44,2023-09-29 05:40:44,0.375s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/img_concat(id(, , -img-snackbar, , ))_-img-_6a7c1a""))",Chrome 117.0.0.0,,,2023-09-29 05:40:44,2023-09-29 05:40:45,0.467s,PASSED
